rsi_scale,run_tag,time_sec,sinr_pre,sinr_after_analog,sinr_after_digital,psnr
10000,precomp_analog,10.88,-34.7355,24.1270,24.1270,35.2007
10000,precomp_digital,12.07,-34.7355,24.1270,25.0000,35.2035
10000,precomp_diffusion,16.17,-34.7355,24.1270,nan,32.8750
50000,precomp_analog,10.88,-41.7252,21.7506,21.7506,34.9538
50000,precomp_digital,11.96,-41.7252,21.7506,25.0000,34.9874
50000,precomp_diffusion,16.11,-41.7252,21.7506,nan,32.5876
100000,precomp_analog,10.88,-44.7355,19.9128,19.9128,34.6567
100000,precomp_digital,12.04,-44.7355,19.9128,22.5651,34.7301
100000,precomp_diffusion,16.05,-44.7355,19.9128,nan,32.4772
250000,precomp_analog,10.91,-48.7149,16.8270,16.8270,33.8493
250000,precomp_digital,12.05,-48.7149,16.8270,18.7130,34.0304
250000,precomp_diffusion,16.06,-48.7149,16.8270,nan,32.8821
1000000,precomp_analog,10.93,-54.7355,11.3332,11.3332,30.9921
1000000,precomp_digital,12.01,-54.7355,11.3332,12.8050,31.5106
1000000,precomp_diffusion,16.14,-54.7355,11.3332,nan,31.8951
3150000,precomp_analog,10.99,-59.7186,6.4794,6.4794,26.7178
3150000,precomp_digital,11.97,-59.7186,6.4794,7.8720,27.6360
3150000,precomp_diffusion,16.08,-59.7186,6.4794,nan,31.1325
